state,year,vehicle_segment,ice_vehicle_registrations,ev_vehicle_registrations
Punjab,2018,3W,130715,17438
Karnataka,2017,4W,80984,17877
Delhi,2021,4W,56332,10151
Karnataka,2024,2W,79973,362
Karnataka,2017,3W,110529,26532
Odisha,2017,2W,61237,9972
Tamil Nadu,2024,3W,95158,14641
Karnataka,2017,2W,72717,2521
Karnataka,2022,2W,96637,18591
Madhya Pradesh,2016,4W,88233,2412
Gujarat,2020,3W,129520,25312
Gujarat,2024,2W,68385,26185
Kerala,2024,4W,78638,2746
Uttar Pradesh,2017,4W,67843,0
Rajasthan,2021,2W,111481,15423
Assam,2017,4W,57723,16580
Karnataka,2019,3W,30467,7115
Assam,2022,3W,18067,2055
Bihar,2023,3W,43873,14311
Kerala,2019,2W,132984,19556
Madhya Pradesh,2017,4W,105221,17045
Kerala,2024,3W,97041,10161
Punjab,2023,3W,28749,0
Tamil Nadu,2017,4W,91493,37032
Odisha,2018,3W,88082,11233
Gujarat,2023,3W,137360,27984
Karnataka,2017,4W,83043,17045
Punjab,2021,4W,76028,11332
Haryana,2023,4W,36951,8504
Bihar,2017,2W,77156,23093
Telangana,2023,4W,68935,0
Tamil Nadu,2016,4W,77011,26950
Kerala,2023,3W,68497,6234
West Bengal,2021,2W,44192,3314
Bihar,2021,2W,70994,4401
Delhi,2023,2W,124929,18956
Rajasthan,2020,2W,83259,26961
Madhya Pradesh,2022,3W,125099,19856
Jharkhand,2017,2W,89959,22804
Bihar,2022,4W,74214,163
Telangana,2018,3W,99641,26846
Assam,2020,4W,92465,8104
Odisha,2021,4W,74119,8962
West Bengal,2019,2W,71008,21990
Tamil Nadu,2018,2W,125887,31086
Madhya Pradesh,2019,2W,96462,23890
Jharkhand,2018,3W,79632,13731
Kerala,2016,2W,59790,10428
Odisha,2024,3W,147798,39447
Punjab,2018,4W,69736,9261
Chhattisgarh,2016,3W,54065,11755
Assam,2022,3W,91746,3274
West Bengal,2022,2W,94590,11639
Jharkhand,2022,2W,122801,24030
Rajasthan,2017,2W,131531,17649
Bihar,2018,2W,71360,14984
Punjab,2016,2W,111678,26421
Maharashtra,2018,4W,42994,8525
Delhi,2021,4W,80667,11058
Maharashtra,2017,2W,60556,21482
West Bengal,2018,4W,68288,6515
Telangana,2021,4W,99113,19134
Haryana,2023,2W,77725,20063
Delhi,2023,3W,94658,20466
Jharkhand,2023,3W,108926,22696
Tamil Nadu,2018,2W,61492,8840
Punjab,2020,3W,64370,12936
Uttar Pradesh,2024,2W,47660,0
Rajasthan,2024,3W,82644,3830
Gujarat,2024,2W,21440,4659
Chhattisgarh,2020,4W,58668,13470
Tamil Nadu,2020,4W,64074,4344
Haryana,2018,3W,42694,5486
Madhya Pradesh,2024,4W,71798,7011
Chhattisgarh,2021,4W,71566,1888
Madhya Pradesh,2019,2W,80434,51
West Bengal,2019,2W,74184,18525
Chhattisgarh,2023,3W,112758,39627
Maharashtra,2016,3W,33311,8523
Jharkhand,2020,2W,116188,32306
Haryana,2023,4W,52120,11527
Haryana,2021,2W,135801,4111
Madhya Pradesh,2017,2W,94290,27459
Jharkhand,2019,3W,59102,14083
Rajasthan,2023,4W,47873,4728
Maharashtra,2023,4W,55487,11054
Haryana,2017,4W,77270,21281
Delhi,2022,4W,51791,8642
Rajasthan,2023,2W,108832,25692
Odisha,2021,2W,40260,9924
West Bengal,2023,3W,65647,14346
Tamil Nadu,2018,2W,89020,26877
Gujarat,2016,2W,83496,0
Bihar,2018,4W,38904,9847
Jharkhand,2021,2W,72250,21226
Assam,2024,2W,88203,9269
Maharashtra,2016,4W,112472,11163
Delhi,2024,4W,18420,7117
Gujarat,2022,2W,22677,5525
Rajasthan,2016,3W,108165,21060
Rajasthan,2020,4W,29498,8303
Madhya Pradesh,2021,3W,36753,1677
Assam,2022,2W,69149,17899
