year,month,state,city,vehicle_category,fuel_type,manufacturer,model_name,registrations
2019,1,Maharashtra,Mumbai,4W,ICE,Maruti Suzuki,Swift,3920
2019,1,Maharashtra,Mumbai,4W,ICE,Hyundai,Creta,6102
2019,1,Maharashtra,Mumbai,4W,EV,Tata Motors,Nexon EV,424
2019,1,Maharashtra,Mumbai,4W,EV,Tata Motors,Tiago EV,1069
2019,1,Maharashtra,Mumbai,4W,EV,MG Motor,ZS EV,413
2019,1,Maharashtra,Mumbai,2W,ICE,Honda,Activa 6G,2724
2019,1,Maharashtra,Mumbai,2W,ICE,TVS,Jupiter,5304
2019,1,Maharashtra,Mumbai,2W,EV,Ola Electric,S1 Pro,463
2019,1,Maharashtra,Mumbai,2W,EV,Ather Energy,450X,492
2019,1,Maharashtra,Pune,4W,ICE,Maruti Suzuki,Swift,7370
2019,1,Maharashtra,Pune,4W,ICE,Hyundai,Creta,6957
2019,1,Maharashtra,Pune,4W,EV,Tata Motors,Nexon EV,1102
2019,1,Maharashtra,Pune,4W,EV,Tata Motors,Tiago EV,582
2019,1,Maharashtra,Pune,4W,EV,MG Motor,ZS EV,988
2019,1,Maharashtra,Pune,2W,ICE,Honda,Activa 6G,7560
2019,1,Maharashtra,Pune,2W,ICE,TVS,Jupiter,10430
2019,1,Maharashtra,Pune,2W,EV,Ola Electric,S1 Pro,729
2019,1,Maharashtra,Pune,2W,EV,Ather Energy,450X,312
2019,1,Maharashtra,Nagpur,4W,ICE,Maruti Suzuki,Swift,9488
2019,1,Maharashtra,Nagpur,4W,ICE,Hyundai,Creta,6120
2019,1,Maharashtra,Nagpur,4W,EV,Tata Motors,Nexon EV,1188
2019,1,Maharashtra,Nagpur,4W,EV,Tata Motors,Tiago EV,831
2019,1,Maharashtra,Nagpur,4W,EV,MG Motor,ZS EV,855
2019,1,Maharashtra,Nagpur,2W,ICE,Honda,Activa 6G,3640
2019,1,Maharashtra,Nagpur,2W,ICE,TVS,Jupiter,3423
2019,1,Maharashtra,Nagpur,2W,EV,Ola Electric,S1 Pro,543
2019,1,Maharashtra,Nagpur,2W,EV,Ather Energy,450X,804
2019,1,Delhi,Delhi,4W,ICE,Maruti Suzuki,Swift,4707
2019,1,Delhi,Delhi,4W,ICE,Hyundai,Creta,4527
2019,1,Delhi,Delhi,4W,EV,Tata Motors,Nexon EV,504
2019,1,Delhi,Delhi,4W,EV,Tata Motors,Tiago EV,514
2019,1,Delhi,Delhi,4W,EV,MG Motor,ZS EV,803
2019,1,Delhi,Delhi,2W,ICE,Honda,Activa 6G,7584
2019,1,Delhi,Delhi,2W,ICE,TVS,Jupiter,9072
2019,1,Delhi,Delhi,2W,EV,Ola Electric,S1 Pro,1155
2019,1,Delhi,Delhi,2W,EV,Ather Energy,450X,753
2019,1,Karnataka,Bengaluru,4W,ICE,Maruti Suzuki,Swift,2490
2019,1,Karnataka,Bengaluru,4W,ICE,Hyundai,Creta,3352
2019,1,Karnataka,Bengaluru,4W,EV,Tata Motors,Nexon EV,946
2019,1,Karnataka,Bengaluru,4W,EV,Tata Motors,Tiago EV,791
2019,1,Karnataka,Bengaluru,4W,EV,MG Motor,ZS EV,1039
2019,1,Karnataka,Bengaluru,2W,ICE,Honda,Activa 6G,3840
2019,1,Karnataka,Bengaluru,2W,ICE,TVS,Jupiter,6830
2019,1,Karnataka,Bengaluru,2W,EV,Ola Electric,S1 Pro,796
2019,1,Karnataka,Bengaluru,2W,EV,Ather Energy,450X,828
2019,1,Karnataka,Mysuru,4W,ICE,Maruti Suzuki,Swift,8379
2019,1,Karnataka,Mysuru,4W,ICE,Hyundai,Creta,2387
2019,1,Karnataka,Mysuru,4W,EV,Tata Motors,Nexon EV,1109
2019,1,Karnataka,Mysuru,4W,EV,Tata Motors,Tiago EV,1185
2019,1,Karnataka,Mysuru,4W,EV,MG Motor,ZS EV,1059
2019,1,Karnataka,Mysuru,2W,ICE,Honda,Activa 6G,8613
2019,1,Karnataka,Mysuru,2W,ICE,TVS,Jupiter,2520
2019,1,Karnataka,Mysuru,2W,EV,Ola Electric,S1 Pro,1153
2019,1,Karnataka,Mysuru,2W,EV,Ather Energy,450X,386
2019,1,Tamil Nadu,Chennai,4W,ICE,Maruti Suzuki,Swift,7330
2019,1,Tamil Nadu,Chennai,4W,ICE,Hyundai,Creta,2820
2019,1,Tamil Nadu,Chennai,4W,EV,Tata Motors,Nexon EV,811
2019,1,Tamil Nadu,Chennai,4W,EV,Tata Motors,Tiago EV,500
2019,1,Tamil Nadu,Chennai,4W,EV,MG Motor,ZS EV,959
2019,1,Tamil Nadu,Chennai,2W,ICE,Honda,Activa 6G,1854
2019,1,Tamil Nadu,Chennai,2W,ICE,TVS,Jupiter,6335
2019,1,Tamil Nadu,Chennai,2W,EV,Ola Electric,S1 Pro,939
2019,1,Tamil Nadu,Chennai,2W,EV,Ather Energy,450X,590
2019,1,Tamil Nadu,Coimbatore,4W,ICE,Maruti Suzuki,Swift,6728
2019,1,Tamil Nadu,Coimbatore,4W,ICE,Hyundai,Creta,6032
2019,1,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Nexon EV,384
2019,1,Tamil Nadu,Coimbatore,4W,EV,Tata Motors,Tiago EV,1151
2019,1,Tamil Nadu,Coimbatore,4W,EV,MG Motor,ZS EV,697
2019,1,Tamil Nadu,Coimbatore,2W,ICE,Honda,Activa 6G,9176
2019,1,Tamil Nadu,Coimbatore,2W,ICE,TVS,Jupiter,3735
2019,1,Tamil Nadu,Coimbatore,2W,EV,Ola Electric,S1 Pro,953
2019,1,Tamil Nadu,Coimbatore,2W,EV,Ather Energy,450X,526
2019,1,Gujarat,Ahmedabad,4W,ICE,Maruti Suzuki,Swift,7658
2019,1,Gujarat,Ahmedabad,4W,ICE,Hyundai,Creta,2226
2019,1,Gujarat,Ahmedabad,4W,EV,Tata Motors,Nexon EV,394
2019,1,Gujarat,Ahmedabad,4W,EV,Tata Motors,Tiago EV,1038
2019,1,Gujarat,Ahmedabad,4W,EV,MG Motor,ZS EV,1070
2019,1,Gujarat,Ahmedabad,2W,ICE,Honda,Activa 6G,7791
2019,1,Gujarat,Ahmedabad,2W,ICE,TVS,Jupiter,5068
2019,1,Gujarat,Ahmedabad,2W,EV,Ola Electric,S1 Pro,871
2019,1,Gujarat,Ahmedabad,2W,EV,Ather Energy,450X,1062
2019,1,Gujarat,Surat,4W,ICE,Maruti Suzuki,Swift,8520
2019,1,Gujarat,Surat,4W,ICE,Hyundai,Creta,10305
2019,1,Gujarat,Surat,4W,EV,Tata Motors,Nexon EV,1065
2019,1,Gujarat,Surat,4W,EV,Tata Motors,Tiago EV,1008
2019,1,Gujarat,Surat,4W,EV,MG Motor,ZS EV,1119
2019,1,Gujarat,Surat,2W,ICE,Honda,Activa 6G,3171
2019,1,Gujarat,Surat,2W,ICE,TVS,Jupiter,3464
2019,1,Gujarat,Surat,2W,EV,Ola Electric,S1 Pro,1016
2019,1,Gujarat,Surat,2W,EV,Ather Energy,450X,761
2019,1,Uttar Pradesh,Noida,4W,ICE,Maruti Suzuki,Swift,4176
2019,1,Uttar Pradesh,Noida,4W,ICE,Hyundai,Creta,9558
2019,1,Uttar Pradesh,Noida,4W,EV,Tata Motors,Nexon EV,339
2019,1,Uttar Pradesh,Noida,4W,EV,Tata Motors,Tiago EV,1117
2019,1,Uttar Pradesh,Noida,4W,EV,MG Motor,ZS EV,1190
2019,1,Uttar Pradesh,Noida,2W,ICE,Honda,Activa 6G,2136
2019,1,Uttar Pradesh,Noida,2W,ICE,TVS,Jupiter,6168
2019,1,Uttar Pradesh,Noida,2W,EV,Ola Electric,S1 Pro,1003
2019,1,Uttar Pradesh,Noida,2W,EV,Ather Energy,450X,470
2019,1,Uttar Pradesh,Lucknow,4W,ICE,Maruti Suzuki,Swift,10593
2019,1,Uttar Pradesh,Lucknow,4W,ICE,Hyundai,Creta,3262
2019,1,Uttar Pradesh,Lucknow,4W,EV,Tata Motors,Nexon EV,349
